Market Name,Outcome,Bet Price
Cincinnati Reds - Elly De la Cruz Total Home Runs,Under 21.5,-115
Cincinnati Reds - Elly De la Cruz Total Runs Scored,Over 84.5,-110
Cincinnati Reds - Elly De la Cruz Total Runs Scored,Under 84.5,-120
Cincinnati Reds - Elly De la Cruz Total Stolen Bases,Over 41.5,-125
Cincinnati Reds - Elly De la Cruz Total Stolen Bases,Under 41.5,-105
Cleveland Guardians - Andres Gimenez Total Hits,Over 150.5,-115
Cleveland Guardians - Andres Gimenez Total Hits,Under 150.5,-115
Cleveland Guardians - Andres Gimenez Total Home Runs,Over 16.5,-115
Cleveland Guardians - Andres Gimenez Total Home Runs,Under 16.5,-115
Cleveland Guardians - Andres Gimenez Total Runs Scored,Over 75.5,-115
Cleveland Guardians - Andres Gimenez Total Runs Scored,Under 75.5,-115
Cleveland Guardians - Jose Ramirez Total Hits,Over 161.5,-115
Cleveland Guardians - Jose Ramirez Total Hits,Under 161.5,-115
Cleveland Guardians - Jose Ramirez Total Home Runs,Over 27.5,-115
Cleveland Guardians - Jose Ramirez Total Home Runs,Under 27.5,-115
Cleveland Guardians - Jose Ramirez Total RBIs,Over 95.5,-115
Cleveland Guardians - Jose Ramirez Total RBIs,Under 95.5,-115
Cleveland Guardians - Jose Ramirez Total Runs Scored,Over 90.5,-115
Cleveland Guardians - Jose Ramirez Total Runs Scored,Under 90.5,-115
Cleveland Guardians - Jose Ramirez Total Stolen Bases,Over 23.5,-115
Cleveland Guardians - Jose Ramirez Total Stolen Bases,Under 23.5,-115
Cleveland Guardians - Josh Naylor Total Hits,Over 139.5,-115
Cleveland Guardians - Josh Naylor Total Hits,Under 139.5,-115
Cleveland Guardians - Josh Naylor Total Home Runs,Over 20.5,-115
Cleveland Guardians - Josh Naylor Total Home Runs,Under 20.5,-115
Cleveland Guardians - Steven Kwan Total Hits,Over 165.5,-115
Cleveland Guardians - Steven Kwan Total Hits,Under 165.5,-115
Cleveland Guardians - Steven Kwan Total Runs Scored,Over 87.5,-115
Cleveland Guardians - Steven Kwan Total Runs Scored,Under 87.5,-115
Cleveland Guardians - Steven Kwan Total Stolen Bases,Over 19.5,-115
Cleveland Guardians - Steven Kwan Total Stolen Bases,Under 19.5,-115
Colorado Rockies - Nolan Jones Total Hits,Over 135.5,-115
Colorado Rockies - Nolan Jones Total Hits,Under 135.5,-115
Colorado Rockies - Nolan Jones Total Home Runs,Over 23.5,-115
Colorado Rockies - Nolan Jones Total Home Runs,Under 23.5,-115
Colorado Rockies - Ryan McMahon Total Hits,Over 125.5,-115
Colorado Rockies - Ryan McMahon Total Hits,Under 125.5,-115
Colorado Rockies - Ryan McMahon Total Home Runs,Over 21.5,-115
Colorado Rockies - Ryan McMahon Total Home Runs,Under 21.5,-115
Detroit Tigers - Spencer Torkelson Total Home Runs,Over 30.5,-115
Detroit Tigers - Spencer Torkelson Total Home Runs,Under 30.5,-115
Detroit Tigers - Spencer Torkelson Total RBIs,Over 90.5,-115
Detroit Tigers - Spencer Torkelson Total RBIs,Under 90.5,-115
Houston Astros - Alex Bregman Total Hits,Over 155.5,-115
Houston Astros - Alex Bregman Total Hits,Under 155.5,-115
Houston Astros - Alex Bregman Total Home Runs,Over 23.5,-115
Houston Astros - Alex Bregman Total Home Runs,Under 23.5,-115
Houston Astros - Alex Bregman Total RBIs,Over 88.5,-115
Houston Astros - Alex Bregman Total RBIs,Under 88.5,-115
Houston Astros - Alex Bregman Total Runs Scored,Over 91.5,-115
