,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
172,Dean Kremer,BAL,SP,SEA at BAL,5.5,5.5,0.4132231404958678,0.6453900709219859,(+142),(-182),2021-04-13
173,Pablo Lopez,MIN,SP,MIA at ATL,5.5,5.5,0.45454545454545453,0.6168582375478927,(+120),(-161),2021-04-13
174,Max Fried,ATL,SP,MIA at ATL,5.5,5.5,0.5121951219512195,0.5555555555555556,(-105),(-125),2021-04-13
175,Brandon Woodruff,FA,SP,CHC at MIL,7.5,7.5,0.5121951219512195,0.4807692307692308,(-105),(+108),2021-04-13
176,Kyle Hendricks,CHC,SP,CHC at MIL,5.5,6.5,0.4444444444444444,0.6153846153846154,(+125),(-160),2021-04-13
177,Stephen Strasburg,WSH,SP,WSH at STL,6.5,6.5,0.5798319327731093,0.47619047619047616,(-138),(+110),2021-04-13
178,Jack Flaherty,DET,SP,WSH at STL,6.5,6.5,0.5652173913043478,0.4878048780487805,(-130),(+105),2021-04-13
179,David Peterson,NYM,"SP,RP",PHI at NYM,4.5,4.5,0.5238095238095238,0.45454545454545453,(-110),(+120),2021-04-13
180,Danny Duffy,TEX,"SP,RP",LAA at KC,4.5,5.5,0.5,0.6575342465753424,(EVEN),(-192),2021-04-13
181,Dylan Bundy,FA,SP,LAA at KC,5.5,6.5,0.6168582375478927,0.5652173913043478,(-161),(-130),2021-04-13
182,Shane Bieber,CLE,SP,CLE at CWS,9.5,9.5,0.45454545454545453,0.6031746031746031,(+120),(-152),2021-04-13
183,Lucas Giolito,BOS,SP,CLE at CWS,8.5,8.5,0.44642857142857145,0.5815899581589958,(+124),(-139),2021-04-13
184,Matt Boyd,FA,"RP,SP",DET at HOU,4.5,5.5,0.5555555555555556,0.6551724137931034,(-125),(-190),2021-04-13
185,Jake Odorizzi,FA,SP,DET at HOU,5.5,5.5,0.5238095238095238,0.5370370370370371,(-110),(-116),2021-04-13
186,Kevin Gausman,TOR,SP,CIN at SF,6.5,6.5,0.49019607843137253,0.5708154506437768,(+104),(-133),2021-04-13
187,Luis Castillo,SEA,SP,CIN at SF,5.5,6.5,0.5454545454545454,0.6503496503496503,(-120),(-186),2021-04-13
188,Trevor Bauer,FA,SP,COL at LAD,8.5,8.5,0.5145631067961165,0.5,(-106),(EVEN),2021-04-13
189,Antonio Senzatela,COL,SP,COL at LAD,3.5,3.5,0.423728813559322,0.635036496350365,(+136),(-174),2021-04-13
190,Corey Kluber,FA,"RP,SP",NYY at TOR,4.5,5.5,0.6168582375478927,0.6153846153846154,(-161),(-160),2021-04-14
191,Ross Stripling,OAK,"SP,RP",NYY at TOR,4.5,4.5,0.4807692307692308,0.576271186440678,(+108),(-136),2021-04-14
192,Adam Wainwright,FA,SP,WSH at STL,4.5,5.5,0.6168582375478927,0.6503496503496503,(-161),(-186),2021-04-14
193,Corbin Burnes,BAL,SP,CHC at MIL,8.5,8.5,0.5495495495495496,0.5098039215686274,(-122),(-104),2021-04-14
194,Jake Arrieta,FA,SP,CHC at MIL,4.5,4.5,0.5145631067961165,0.5454545454545454,(-106),(-120),2021-04-14
195,Brad Keller,FA,"SP,RP",LAA at KC,3.5,3.5,0.5555555555555556,0.4716981132075472,(-125),(+112),2021-04-14
196,Griffin Canning,LAA,SP,LAA at KC,5.5,5.5,0.5260663507109005,0.49504950495049505,(-111),(+102),2021-04-14
197,Tyler Mahle,TEX,SP,CIN at SF,5.5,6.5,0.5708154506437768,0.5867768595041323,(-133),(-142),2021-04-14
198,Johnny Cueto,FA,SP,CIN at SF,4.5,5.5,0.6062992125984252,0.6621621621621622,(-154),(-196),2021-04-14
199,Ja Happ,FA,SP,BOS at MIN,4.5,4.5,0.4444444444444444,0.5798319327731093,(+125),(-138),2021-04-14
200,Martin Perez,PIT,"SP,RP",BOS at MIN,4.5,4.5,0.46511627906976744,0.5614035087719298,(+115),(-128),2021-04-14
201,Joe Musgrove,SD,SP,SD at PIT,6.5,6.5,0.5192307692307693,0.5121951219512195,(-108),(-105),2021-04-14
202,Tyler Anderson,LAA,SP,SD at PIT,4.5,4.5,0.45454545454545453,0.5614035087719298,(+120),(-128),2021-04-14
203,Zack Wheeler,PHI,SP,PHI at NYM,5.5,5.5,0.47619047619047616,0.5833333333333334,(+110),(-140),2021-04-14
